fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
175254,16370,NDB #,SR Legacy,"Lentils, mature seeds, cooked, boiled, with salt",1.5,198,g,"1 cup",3.0
175258,16389,NDB #,SR Legacy,"Peanuts, all types, oil-roasted, without salt",0.8,144,g,"1 cup,",1.2
175258,16389,NDB #,SR Legacy,"Peanuts, all types, oil-roasted, without salt",0.8,28.35000000000000142108547152020037174224853515625,g,"1 oz shelled (32 nuts)",0.2
175252,16363,NDB #,SR Legacy,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",0.4,171,g,"1 cup",0.7
175256,16384,NDB #,SR Legacy,"Mungo beans, mature seeds, cooked, boiled, with salt",1.0,180,g,"1 cup",1.8
175251,16361,NDB #,SR Legacy,"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",0.4,171,g,"1 cup",0.7
175247,16347,NDB #,SR Legacy,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",0.7,442,g,"1 can total can contents",3.1
175247,16347,NDB #,SR Legacy,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",0.7,240,g,"1 cup",1.7
175250,16360,NDB #,SR Legacy,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",0.1,240,g,"1 cup",0.2
175250,16360,NDB #,SR Legacy,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",0.1,448,g,"1 can total can contents",0.4
175246,16346,NDB #,SR Legacy,"Beans, small white, mature seeds, cooked, boiled, with salt",0.0,179,g,"1 cup",0.0
175248,16348,NDB #,SR Legacy,"Beans, yellow, mature seeds, cooked, boiled, with salt",1.8,177,g,"1 cup",3.2
175249,16350,NDB #,SR Legacy,"Beans, white, mature seeds, cooked, boiled, with salt",0.0,179,g,"1 cup",0.0
175244,16336,NDB #,SR Legacy,"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",1.2,177,g,"1 cup",2.1
175241,16323,NDB #,SR Legacy,"Beans, french, mature seeds, cooked, boiled, with salt",1.2,177,g,"1 cup",2.1
175242,16333,NDB #,SR Legacy,"Beans, kidney, red, mature seeds, cooked, boiled, with salt",1.2,177,g,"1 cup",2.1
175239,16317,NDB #,SR Legacy,"Beans, black turtle, mature seeds, cooked, boiled, with salt",0.0,185,g,"1 cup",0.0
175245,16337,NDB #,SR Legacy,"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",0.8,436,g,"1 can total can contents",3.5
175245,16337,NDB #,SR Legacy,"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",0.8,256,g,"1 cup",2.0
